time;V(Net-_D1-K_);V(Net-_U2-+_);
0.0064814;13.1458;7.97333;
0.0065014;13.1405;7.87399;
0.0065214;13.1353;7.77485;
0.0065414;13.13;7.67591;
0.0065614;13.1248;7.57717;
0.0065814;13.1195;7.47862;
0.0066014;13.1143;7.38027;
0.0066214;13.109;7.28212;
0.0066414;13.1038;7.18417;
0.0066614;13.0986;7.08641;
0.0066814;13.0933;6.98884;
0.0067014;13.0881;6.89147;
0.0067214;13.0828;6.7943;
0.0067414;13.0776;6.69732;
0.0067614;13.0724;6.60053;
0.0067814;13.0672;6.50394;
0.0068014;13.0619;6.40754;
0.0068214;13.0567;6.31133;
0.0068414;13.0515;6.21531;
0.0068614;13.0463;6.11949;
0.0068814;13.0411;6.02386;
0.0069014;13.0358;5.92841;
0.0069214;13.0306;5.83316;
0.0069414;13.0254;5.7381;
0.0069614;13.0202;5.64323;
0.0069814;13.015;5.54855;
0.007001;13.0099;5.45595;
0.0070011;13.0099;5.45483;
0.0070013;13.0098;5.45291;
0.0070017;13.0097;5.45073;
0.007002;13.0096;5.45027;
0.00700208;13.0096;5.45086;
0.00700224;13.0096;5.45196;
0.00700256;13.0095;5.4537;
0.0070032;13.0093;5.4564;
0.00700448;13.009;5.46108;
0.00700704;13.0083;5.4703;
0.00701216;13.007;5.48878;
0.0070224;13.0043;5.52569;
0.0070424;12.9991;5.59769;
0.0070624;12.9939;5.66953;
0.0070824;12.9887;5.74124;
0.0071024;12.9835;5.81279;
0.0071224;12.9783;5.88422;
0.0071424;12.9732;5.95548;
0.0071624;12.968;6.02662;
0.0071824;12.9628;6.09761;
0.0072024;12.9576;6.16846;
0.0072224;12.9524;6.23916;
0.0072424;12.9472;6.30973;
0.0072624;12.9421;6.38015;
0.0072824;12.9369;6.45044;
0.0073024;12.9317;6.52058;
0.0073224;12.9265;6.59058;
0.0073424;12.9214;6.66044;
0.0073624;12.9162;6.73017;
0.0073824;12.911;6.79975;
0.0074024;12.9059;6.8692;
0.0074224;12.9007;6.9385;
0.0074424;12.8955;7.00767;
0.0074624;12.8904;7.0767;
0.0074824;12.8852;7.14559;
0.0075024;12.8801;7.21434;
0.0075224;12.8749;7.28296;
0.0075424;12.8698;7.35144;
0.0075624;12.8646;7.41978;
0.0075824;12.8595;7.48799;
0.0076024;12.8543;7.55606;
0.0076224;12.8492;7.62399;
0.0076424;12.8441;7.69179;
0.0076624;12.8389;7.75945;
0.0076824;12.8338;7.82698;
0.0077024;12.8287;7.89437;
0.0077224;12.8235;7.96163;
0.0077424;12.8184;8.02875;
0.0077624;12.8133;8.09574;
0.0077824;12.8082;8.16259;
0.0078024;12.803;8.22932;
0.0078224;12.7979;8.2959;
0.0078424;12.7928;8.36236;
0.0078624;12.7877;8.42868;
0.0078824;12.7826;8.49487;
0.0079024;12.7775;8.56093;
0.0079224;12.7723;8.62686;
0.0079424;12.7672;8.69265;
0.0079624;12.7621;8.75831;
0.0079824;12.757;8.82384;
0.008;12.7525;8.8814;
0.0080001;12.7525;8.88238;
0.0080003;12.7525;8.884;
0.0080007;12.7524;8.88561;
0.008001;12.7523;8.88563;
0.00800108;12.7523;8.88492;
0.00800124;12.7522;8.88359;
0.00800156;12.7521;8.88138;
0.0080022;12.752;8.87775;
0.00800348;12.7516;8.87122;
0.00800604;12.751;8.85828;
0.00801116;12.7497;8.83237;
0.0080214;12.7471;8.78061;
0.0080414;12.742;8.67965;
0.0080614;12.7369;8.57891;
0.0080814;12.7318;8.47836;
0.0081014;12.7267;8.37802;
0.0081214;12.7216;8.27787;
0.0081414;12.7165;8.17793;
0.0081614;12.7114;8.07818;
0.0081814;12.7064;7.97863;
0.0082014;12.7013;7.87928;
0.0082214;12.6962;7.78014;
0.0082414;12.6911;7.68118;
0.0082614;12.686;7.58243;
0.0082814;12.681;7.48387;
0.0083014;12.6759;7.38552;
0.0083214;12.6708;7.28735;
0.0083414;12.6658;7.18939;
0.0083614;12.6607;7.09162;
0.0083814;12.6556;6.99404;
0.0084014;12.6506;6.89666;
0.0084214;12.6455;6.79948;
0.0084414;12.6405;6.70249;
0.0084614;12.6354;6.60569;
0.0084814;12.6303;6.50908;
0.0085014;12.6253;6.41267;
0.0085214;12.6202;6.31646;
0.0085414;12.6152;6.22043;
0.0085614;12.6102;6.12459;
0.0085814;12.6051;6.02895;
0.0086014;12.6001;5.9335;
0.0086214;12.595;5.83824;
0.0086414;12.59;5.74317;
0.0086614;12.585;5.64829;
0.0086814;12.5799;5.5536;
0.0087014;12.5749;5.4591;
0.0087214;12.5699;5.36478;
0.0087414;12.5648;5.27066;
0.0087614;12.5598;5.17672;
0.0087814;12.5548;5.08297;
0.0088014;12.5498;4.98941;
0.0088214;12.5447;4.89604;
0.0088414;12.5397;4.80285;
0.0088614;12.5347;4.70985;
0.0088814;12.5297;4.61703;
0.0089014;12.5247;4.5244;
0.0089214;12.5197;4.43196;
0.0089414;12.5147;4.3397;
0.0089614;12.5097;4.24762;
0.0089814;12.5047;4.15573;
0.009001;12.4998;4.06585;
0.0090011;12.4997;4.06475;
0.0090013;12.4997;4.06286;
0.0090017;12.4996;4.06073;
0.009002;12.4995;4.06031;
0.00900208;12.4995;4.06092;
0.00900224;12.4995;4.06203;
0.00900256;12.4994;4.06382;
0.0090032;12.4992;4.06661;
0.00900448;12.4989;4.07147;
0.00900704;12.4983;4.08105;
0.00901216;12.497;4.10024;
0.0090224;12.4944;4.13857;
0.0090424;12.4894;4.21334;
0.0090624;12.4844;4.28794;
0.0090824;12.4794;4.36241;
0.0091024;12.4744;4.43672;
0.0091224;12.4695;4.51089;
0.0091424;12.4645;4.58491;
0.0091624;12.4595;4.65878;
0.0091824;12.4545;4.7325;
0.0092024;12.4495;4.80608;
0.0092224;12.4445;4.87951;
0.0092424;12.4396;4.95279;
0.0092624;12.4346;5.02592;
0.0092824;12.4296;5.09892;
0.0093024;12.4246;5.17176;
0.0093224;12.4197;5.24446;
0.0093424;12.4147;5.31701;
0.0093624;12.4097;5.38942;
0.0093824;12.4048;5.46168;
0.0094024;12.3998;5.5338;
0.0094224;12.3949;5.60577;
0.0094424;12.3899;5.6776;
0.0094624;12.385;5.74929;
0.0094824;12.38;5.82083;
0.0095024;12.375;5.89223;
0.0095224;12.3701;5.96349;
0.0095424;12.3652;6.03461;
0.0095624;12.3602;6.10558;
0.0095824;12.3553;6.17641;
0.0096024;12.3503;6.2471;
0.0096224;12.3454;6.31765;
0.0096424;12.3404;6.38806;
0.0096624;12.3355;6.45833;
0.0096824;12.3306;6.52846;
0.0097024;12.3256;6.59844;
0.0097224;12.3207;6.66829;
0.0097424;12.3158;6.738;
0.0097624;12.3109;6.80757;
0.0097824;12.3059;6.87699;
0.0098024;12.301;6.94629;
0.0098224;12.2961;7.01544;
0.0098424;12.2912;7.08445;
0.0098624;12.2863;7.15333;
0.0098824;12.2814;7.22207;
0.0099024;12.2764;7.29067;
0.0099224;12.2715;7.35913;
0.0099424;12.2666;7.42746;
0.0099624;12.2617;7.49565;
0.0099824;12.2568;7.5637;
0.01;12.2525;7.62348;
0.0100001;12.2525;7.62447;
0.0100003;12.2524;7.62611;
0.0100007;12.2523;7.62777;
0.010001;12.2523;7.62783;
0.0100011;12.2522;7.62713;
0.0100012;12.2522;7.62582;
0.0100016;12.2521;7.62366;
0.0100022;12.252;7.62011;
0.0100035;12.2517;7.61373;
0.010006;12.251;7.60111;
0.0100112;12.2498;7.57584;
0.0100214;12.2473;7.52537;
0.0100414;12.2424;7.42692;
0.0100614;12.2375;7.32868;
0.0100814;12.2326;7.23063;
0.0101014;12.2277;7.13278;
0.0101214;12.2228;7.03512;
0.0101414;12.2179;6.93766;
0.0101614;12.213;6.84039;
0.0101814;12.2081;6.74332;
0.0102014;12.2032;6.64644;
0.0102214;12.1984;6.54976;
0.0102414;12.1935;6.45326;
0.0102614;12.1886;6.35697;
0.0102814;12.1837;6.26086;
0.0103014;12.1789;6.16494;
0.0103214;12.174;6.06922;
0.0103414;12.1691;5.97369;
0.0103614;12.1643;5.87835;
0.0103814;12.1594;5.7832;
0.0104014;12.1545;5.68823;
0.0104214;12.1497;5.59346;
0.0104414;12.1448;5.49888;
0.0104614;12.14;5.40449;
0.0104814;12.1351;5.31029;
0.0105014;12.1302;5.21627;
0.0105214;12.1254;5.12244;
0.0105414;12.1205;5.0288;
0.0105614;12.1157;4.93535;
0.0105814;12.1109;4.84208;
0.0106014;12.106;4.749;
0.0106214;12.1012;4.65611;
0.0106414;12.0963;4.5634;
0.0106614;12.0915;4.47088;
0.0106814;12.0867;4.37854;
0.0107014;12.0818;4.28639;
0.0107214;12.077;4.19442;
0.0107414;12.0722;4.10263;
0.0107614;12.0673;4.01103;
0.0107814;12.0625;3.91961;
0.0108014;12.0577;3.82837;
0.0108214;12.0529;3.73732;
0.0108414;12.048;3.64644;
0.0108614;12.0432;3.55575;
0.0108814;12.0384;3.46524;
0.0109014;12.0336;3.37492;
0.0109214;12.0288;3.28477;
0.0109414;12.024;3.1948;
0.0109614;12.0192;3.10501;
0.0109814;12.0144;3.0154;
0.011001;12.0096;2.92776;
0.0110011;12.0096;2.92666;
0.0110013;12.0096;2.9248;
0.0110017;12.0095;2.92271;
0.011002;12.0094;2.92233;
0.0110021;12.0094;2.92295;
0.0110022;12.0093;2.92408;
0.0110026;12.0093;2.9259;
0.0110032;12.0091;2.92877;
0.0110045;12.0088;2.93377;
0.011007;12.0082;2.94364;
0.0110122;12.007;2.96341;
0.0110224;12.0045;3.00291;
0.0110424;11.9997;3.07995;
0.0110624;11.9949;3.15682;
0.0110824;11.9901;3.23355;
0.0111024;11.9853;3.31011;
0.0111224;11.9805;3.38653;
0.0111424;11.9757;3.46279;
0.0111624;11.9709;3.53891;
0.0111824;11.9662;3.61487;
0.0112024;11.9614;3.69068;
0.0112224;11.9566;3.76633;
0.0112424;11.9518;3.84184;
0.0112624;11.947;3.9172;
0.0112824;11.9422;3.9924;
0.0113024;11.9375;4.06746;
0.0113224;11.9327;4.14236;
0.0113424;11.9279;4.21711;
0.0113624;11.9232;4.29172;
0.0113824;11.9184;4.36618;
0.0114024;11.9136;4.44049;
0.0114224;11.9089;4.51464;
0.0114424;11.9041;4.58866;
0.0114624;11.8993;4.66252;
0.0114824;11.8946;4.73623;
0.0115024;11.8898;4.8098;
0.0115224;11.8851;4.88322;
0.0115424;11.8803;4.9565;
0.0115624;11.8756;5.02963;
0.0115824;11.8708;5.10261;
0.0116024;11.8661;5.17544;
0.0116224;11.8613;5.24813;
0.0116424;11.8566;5.32068;
0.0116624;11.8518;5.39308;
0.0116824;11.8471;5.46533;
0.0117024;11.8424;5.53745;
0.0117224;11.8376;5.60941;
0.0117424;11.8329;5.68124;
0.0117624;11.8282;5.75292;
0.0117824;11.8234;5.82445;
