time;V(Net-_C3-Pad1_);
0.416182;-0.0595485;
0.416202;-0.0594544;
0.416222;-0.0593596;
0.416242;-0.0592639;
0.416262;-0.0591675;
0.416282;-0.0590702;
0.416302;-0.0589721;
0.416322;-0.0588732;
0.416342;-0.0587735;
0.416362;-0.0586729;
0.416382;-0.0585716;
0.416402;-0.0584694;
0.416422;-0.0583665;
0.416442;-0.0582627;
0.416462;-0.0581581;
0.416482;-0.0580527;
0.416502;-0.0579465;
0.416522;-0.0578395;
0.416542;-0.0577317;
0.416562;-0.0576231;
0.416582;-0.0575136;
0.416602;-0.0574034;
0.416622;-0.0572924;
0.416642;-0.0571805;
0.416662;-0.0570679;
0.416682;-0.0569544;
0.416702;-0.0568402;
0.416722;-0.0567251;
0.416742;-0.0566093;
0.416762;-0.0564926;
0.416782;-0.0563751;
0.416802;-0.0562569;
0.416822;-0.0561378;
0.416842;-0.0560179;
0.416862;-0.0558973;
0.416882;-0.0557758;
0.416902;-0.0556535;
0.416922;-0.0555305;
0.416942;-0.0554066;
0.416962;-0.055282;
0.416982;-0.0551565;
0.417002;-0.0550303;
0.417022;-0.0549032;
0.417042;-0.0547754;
0.417062;-0.0546467;
0.417082;-0.0545173;
0.417102;-0.0543871;
0.417122;-0.0542561;
0.417142;-0.0541243;
0.417162;-0.0539917;
0.417182;-0.0538583;
0.417202;-0.0537241;
0.417222;-0.0535891;
0.417242;-0.0534534;
0.417262;-0.0533168;
0.417282;-0.0531795;
0.417302;-0.0530414;
0.417322;-0.0529024;
0.417342;-0.0527627;
0.417362;-0.0526222;
0.417382;-0.052481;
0.417402;-0.0523389;
0.417422;-0.052196;
0.417442;-0.0520524;
0.417462;-0.051908;
0.417482;-0.0517628;
0.417502;-0.0516168;
0.417522;-0.05147;
0.417542;-0.0513225;
0.417562;-0.0511741;
0.417582;-0.051025;
0.417602;-0.0508751;
0.417622;-0.0507244;
0.417642;-0.0505729;
0.417662;-0.0504207;
0.417682;-0.0502677;
0.417702;-0.0501139;
0.417722;-0.0499593;
0.417742;-0.0498039;
0.417762;-0.0496478;
0.417782;-0.0494909;
0.417802;-0.0493332;
0.417822;-0.0491747;
0.417842;-0.0490155;
0.417862;-0.0488555;
0.417882;-0.0486947;
0.417902;-0.0485331;
0.417922;-0.0483708;
0.417942;-0.0482077;
0.417962;-0.0480438;
0.417982;-0.0478791;
0.418002;-0.0477137;
0.418022;-0.0475475;
0.418042;-0.0473805;
0.418062;-0.0472128;
0.418082;-0.0470442;
0.418102;-0.046875;
0.418122;-0.0467049;
0.418142;-0.0465341;
0.418162;-0.0463625;
0.418182;-0.0461901;
0.418202;-0.046017;
0.418222;-0.0458431;
0.418242;-0.0456685;
0.418262;-0.045493;
0.418282;-0.0453169;
0.418302;-0.0451399;
0.418322;-0.0449622;
0.418342;-0.0447837;
0.418362;-0.0446045;
0.418382;-0.0444245;
0.418402;-0.0442437;
0.418422;-0.0440622;
0.418442;-0.0438799;
0.418462;-0.0436968;
0.418482;-0.043513;
0.418502;-0.0433284;
0.418522;-0.0431431;
0.418542;-0.042957;
0.418562;-0.0427701;
0.418582;-0.0425825;
0.418602;-0.0423942;
0.418622;-0.042205;
0.418642;-0.0420152;
0.418662;-0.0418245;
0.418682;-0.0416331;
0.418702;-0.041441;
0.418722;-0.0412481;
0.418742;-0.0410544;
0.418762;-0.04086;
0.418782;-0.0406648;
0.418802;-0.0404689;
0.418822;-0.0402722;
0.418842;-0.0400748;
0.418862;-0.0398766;
0.418882;-0.0396777;
0.418902;-0.039478;
0.418922;-0.0392776;
0.418942;-0.0390764;
0.418962;-0.0388745;
0.418982;-0.0386718;
0.419002;-0.0384684;
0.419022;-0.0382642;
0.419042;-0.0380593;
0.419062;-0.0378536;
0.419082;-0.0376472;
0.419102;-0.0374401;
0.419122;-0.0372322;
0.419142;-0.0370235;
0.419162;-0.0368141;
0.419182;-0.036604;
0.419202;-0.0363931;
0.419222;-0.0361815;
0.419242;-0.0359691;
0.419262;-0.035756;
0.419282;-0.0355421;
0.419302;-0.0353276;
0.419322;-0.0351122;
0.419342;-0.0348961;
0.419362;-0.0346793;
0.419382;-0.0344618;
0.419402;-0.0342435;
0.419422;-0.0340244;
0.419442;-0.0338047;
0.419462;-0.0335842;
0.419482;-0.0333629;
0.419502;-0.0331409;
0.419522;-0.0329182;
0.419542;-0.0327095;
0.419554;-0.0326117;
0.419566;-0.0325485;
0.419574;-0.0325148;
0.419583;-0.0324781;
0.419593;-0.0324341;
0.419612;-0.0323577;
0.419632;-0.0322731;
0.419652;-0.0321877;
0.419672;-0.0321014;
0.419692;-0.0320144;
0.419712;-0.0319265;
0.419732;-0.0318379;
0.419752;-0.0317483;
0.419772;-0.031658;
0.41979;-0.0316173;
0.419802;-0.0316422;
0.419811;-0.0316818;
0.41982;-0.031716;
0.419828;-0.0317522;
0.419844;-0.0318164;
0.419861;-0.0318869;
0.419881;-0.031968;
0.419901;-0.0320482;
0.419921;-0.032129;
0.419926;-0.032154;
0.419934;-0.0322176;
0.419941;-0.0322932;
0.419948;-0.0323676;
0.419955;-0.0324419;
0.419967;-0.0325712;
0.419982;-0.0327253;
0.419996;-0.0328695;
0.42;-0.0329132;
0.42;-0.0329143;
0.42;-0.0329164;
0.420001;-0.0329206;
0.420001;-0.0329237;
0.420001;-0.0329246;
0.420001;-0.0329262;
0.420002;-0.0329296;
0.420002;-0.0329363;
0.420003;-0.0329497;
0.420006;-0.0329765;
0.420011;-0.03303;
0.420021;-0.0331369;
0.420041;-0.0333449;
0.420061;-0.0335519;
0.420081;-0.033758;
0.420101;-0.033963;
0.420121;-0.034167;
0.420141;-0.0343701;
0.420161;-0.0345721;
0.420181;-0.0347732;
0.420201;-0.0349733;
0.420221;-0.0351723;
0.420241;-0.0353704;
0.420261;-0.0355675;
0.420281;-0.0357637;
0.420301;-0.0359588;
0.420321;-0.0361529;
0.420341;-0.0363461;
0.420361;-0.0365383;
0.420381;-0.0367294;
0.420401;-0.0369197;
0.420421;-0.0371089;
0.420441;-0.0372971;
0.420461;-0.0374844;
0.420481;-0.0376706;
0.420501;-0.0378559;
0.420521;-0.0380402;
0.420541;-0.0382235;
0.420561;-0.0384059;
0.420581;-0.0385873;
0.420601;-0.0387677;
0.420621;-0.0389471;
0.420641;-0.0391255;
0.420661;-0.039303;
0.420681;-0.0394794;
0.420701;-0.0396549;
0.420721;-0.0398295;
0.420741;-0.040003;
0.420761;-0.0401756;
0.420781;-0.0403472;
0.420801;-0.0405178;
0.420821;-0.0406875;
0.420841;-0.0408562;
0.420861;-0.0410239;
0.420881;-0.0411906;
0.420901;-0.0413564;
0.420921;-0.0415212;
0.420941;-0.0416851;
0.420961;-0.0418479;
0.420981;-0.0420098;
0.421001;-0.0421708;
0.421021;-0.0423307;
0.421041;-0.0424897;
0.421061;-0.0426478;
0.421081;-0.0428049;
0.421101;-0.042961;
0.421121;-0.0431161;
0.421141;-0.0432703;
0.421161;-0.0434235;
0.421181;-0.0435757;
0.421201;-0.043727;
0.421221;-0.0438774;
0.421241;-0.0440267;
0.421261;-0.0441752;
0.421281;-0.0443226;
0.421301;-0.0444691;
0.421321;-0.0446146;
0.421341;-0.0447592;
0.421361;-0.0449028;
0.421381;-0.0450455;
0.421401;-0.0451872;
0.421421;-0.0453279;
0.421441;-0.0454677;
0.421461;-0.0456066;
0.421481;-0.0457445;
0.421501;-0.0458814;
0.421521;-0.0460174;
0.421541;-0.0461524;
0.421561;-0.0462865;
0.421581;-0.0464196;
0.421601;-0.0465518;
0.421621;-0.046683;
0.421641;-0.0468133;
0.421661;-0.0469426;
0.421681;-0.047071;
0.421701;-0.0471985;
0.421721;-0.0473249;
0.421741;-0.0474505;
0.421761;-0.0475751;
0.421781;-0.0476987;
0.421801;-0.0478214;
0.421821;-0.0479432;
0.421841;-0.048064;
0.421861;-0.0481839;
0.421881;-0.0483028;
0.421901;-0.0484208;
0.421921;-0.0485378;
0.421941;-0.048654;
0.421961;-0.0487691;
0.421981;-0.0488833;
0.422001;-0.0489966;
0.422021;-0.049109;
0.422041;-0.0492204;
0.422061;-0.0493309;
0.422081;-0.0494404;
0.422101;-0.049549;
0.422121;-0.0496567;
0.422141;-0.0497634;
