time;V(Net-_C3-Pad1_);
0.0100011;-5.86459;
0.0100012;-5.86458;
0.0100016;-5.86457;
0.0100022;-5.86456;
0.0100035;-5.86453;
0.010006;-5.86446;
0.0100112;-5.86433;
0.0100214;-5.86406;
0.0100414;-5.86354;
0.0100614;-5.86302;
0.0100814;-5.8625;
0.0101014;-5.86198;
0.0101214;-5.86146;
0.0101414;-5.86093;
0.0101614;-5.86041;
0.0101814;-5.85988;
0.0102014;-5.85935;
0.0102214;-5.85882;
0.0102414;-5.85829;
0.0102614;-5.85776;
0.0102814;-5.85723;
0.0103014;-5.8567;
0.0103214;-5.85617;
0.0103414;-5.85563;
0.0103614;-5.8551;
0.0103814;-5.85456;
0.0104014;-5.85402;
0.0104214;-5.85349;
0.0104414;-5.85295;
0.0104614;-5.85241;
0.0104814;-5.85186;
0.010501;-5.85133;
0.0105011;-5.85133;
0.0105013;-5.85132;
0.0105017;-5.85131;
0.010502;-5.85131;
0.0105021;-5.8513;
0.0105022;-5.8513;
0.0105026;-5.85129;
0.0105032;-5.85127;
0.0105045;-5.85124;
0.010507;-5.85117;
0.0105122;-5.85103;
0.0105224;-5.85075;
0.0105424;-5.85021;
0.0105624;-5.84966;
0.0105824;-5.84911;
0.0106024;-5.84857;
0.0106224;-5.84802;
0.0106424;-5.84747;
0.0106624;-5.84692;
0.0106824;-5.84637;
0.0107024;-5.84581;
0.0107224;-5.84526;
0.0107424;-5.84471;
0.0107624;-5.84415;
0.0107824;-5.84359;
0.0108024;-5.84304;
0.0108224;-5.84248;
0.0108424;-5.84192;
0.0108624;-5.84136;
0.0108824;-5.8408;
0.0109024;-5.84023;
0.0109224;-5.83967;
0.0109424;-5.8391;
0.0109624;-5.83854;
0.0109824;-5.83797;
0.011;-5.83747;
0.0110001;-5.83747;
0.0110003;-5.83746;
0.0110007;-5.83745;
0.011001;-5.83745;
0.0110011;-5.83744;
0.0110012;-5.83744;
0.0110016;-5.83743;
0.0110022;-5.83741;
0.0110035;-5.83737;
0.011006;-5.8373;
0.0110112;-5.83716;
0.0110214;-5.83687;
0.0110414;-5.8363;
0.0110614;-5.83573;
0.0110814;-5.83515;
0.0111014;-5.83458;
0.0111214;-5.83401;
0.0111414;-5.83343;
0.0111614;-5.83286;
0.0111814;-5.83228;
0.0112014;-5.8317;
0.0112214;-5.83113;
0.0112414;-5.83055;
0.0112614;-5.82997;
0.0112814;-5.82938;
0.0113014;-5.8288;
0.0113214;-5.82822;
0.0113414;-5.82763;
0.0113614;-5.82705;
0.0113814;-5.82646;
0.0114014;-5.82588;
0.0114214;-5.82529;
0.0114414;-5.8247;
0.0114614;-5.82411;
0.0114814;-5.82352;
0.011501;-5.82294;
0.0115011;-5.82293;
0.0115013;-5.82293;
0.0115017;-5.82292;
0.011502;-5.82291;
0.0115021;-5.8229;
0.0115022;-5.8229;
0.0115026;-5.82289;
0.0115032;-5.82287;
0.0115045;-5.82283;
0.011507;-5.82276;
0.0115122;-5.82261;
0.0115224;-5.8223;
0.0115424;-5.82171;
0.0115624;-5.82111;
0.0115824;-5.82052;
0.0116024;-5.81992;
0.0116224;-5.81932;
0.0116424;-5.81872;
0.0116624;-5.81812;
0.0116824;-5.81752;
0.0117024;-5.81692;
0.0117224;-5.81632;
0.0117424;-5.81571;
0.0117624;-5.81511;
0.0117824;-5.8145;
0.0118024;-5.8139;
0.0118224;-5.81329;
0.0118424;-5.81268;
0.0118624;-5.81207;
0.0118824;-5.81146;
0.0119024;-5.81085;
0.0119224;-5.81023;
0.0119424;-5.80962;
0.0119624;-5.80901;
0.0119824;-5.80839;
0.012;-5.80785;
0.0120001;-5.80785;
0.0120003;-5.80784;
0.0120007;-5.80783;
0.012001;-5.80782;
0.0120011;-5.80781;
0.0120012;-5.80781;
0.0120016;-5.8078;
0.0120022;-5.80778;
0.0120035;-5.80774;
0.012006;-5.80766;
0.0120112;-5.8075;
0.0120214;-5.80719;
0.0120414;-5.80657;
0.0120614;-5.80595;
0.0120814;-5.80533;
0.0121014;-5.80471;
0.0121214;-5.80409;
0.0121414;-5.80346;
0.0121614;-5.80284;
0.0121814;-5.80221;
0.0122014;-5.80159;
0.0122214;-5.80096;
0.0122414;-5.80033;
0.0122614;-5.7997;
0.0122814;-5.79907;
0.0123014;-5.79844;
0.0123214;-5.79781;
0.0123414;-5.79718;
0.0123614;-5.79655;
0.0123814;-5.79591;
0.0124014;-5.79528;
0.0124214;-5.79464;
0.0124414;-5.794;
0.0124614;-5.79336;
0.0124814;-5.79272;
0.012501;-5.7921;
0.0125011;-5.79209;
0.0125013;-5.79209;
0.0125017;-5.79207;
0.012502;-5.79207;
0.0125021;-5.79206;
0.0125022;-5.79206;
0.0125026;-5.79205;
0.0125032;-5.79203;
0.0125045;-5.79199;
0.012507;-5.7919;
0.0125122;-5.79174;
0.0125224;-5.79141;
0.0125424;-5.79077;
0.0125624;-5.79013;
0.0125824;-5.78948;
0.0126024;-5.78884;
0.0126224;-5.78819;
0.0126424;-5.78754;
0.0126624;-5.7869;
0.0126824;-5.78625;
0.0127024;-5.7856;
0.0127224;-5.78495;
0.0127424;-5.7843;
0.0127624;-5.78364;
0.0127824;-5.78299;
0.0128024;-5.78233;
0.0128224;-5.78168;
0.0128424;-5.78102;
0.0128624;-5.78037;
0.0128824;-5.77971;
0.0129024;-5.77905;
0.0129224;-5.77839;
0.0129424;-5.77773;
0.0129624;-5.77707;
0.0129824;-5.7764;
0.013;-5.77582;
0.0130001;-5.77582;
0.0130003;-5.77581;
0.0130007;-5.7758;
0.013001;-5.77579;
0.0130011;-5.77578;
0.0130012;-5.77578;
0.0130016;-5.77577;
0.0130022;-5.77575;
0.0130035;-5.7757;
0.013006;-5.77562;
0.0130112;-5.77545;
0.0130214;-5.77511;
0.0130414;-5.77444;
0.0130614;-5.77378;
0.0130814;-5.77311;
0.0131014;-5.77244;
0.0131214;-5.77177;
0.0131414;-5.7711;
0.0131614;-5.77043;
0.0131814;-5.76976;
0.0132014;-5.76908;
0.0132214;-5.76841;
0.0132414;-5.76774;
0.0132614;-5.76706;
0.0132814;-5.76638;
0.0133014;-5.76571;
0.0133214;-5.76503;
0.0133414;-5.76435;
0.0133614;-5.76367;
0.0133814;-5.76299;
0.0134014;-5.7623;
